doi,paper_title,year,journal,sub_field,data_source,best_algorithm,best_metric_type,best_metric_value,validation_method,interpretability_method,model_framework,control_loop_type,scale,dataset_size,time_span,real_time_testing,deployed_in_plant,uses_real_wastewater,code_available,data_available,uncertainty_quantification,ml_algorithms,target_variable
10.1007/s13399-023-04593-z,Comparison of prediction of biogas yield in a batch mode underground fixed dome digester with cow dung,2023,Biomass Conversion and Biorefinery,sludge,experimental,ANN,R2,0.999,random_split,feature_importance,matlab,none,pilot,50.0,50 days,False,False,True,False,False,False,ANN; LR; MLR,daily volume of biogas yield
10.1007/s40747-020-00259-9,Machine learning based soft sensor model for BOD estimation using intelligence at edge,2021,Complex &amp; Intelligent Systems,monitoring,experimental,KNN,other,0.9273,k_fold,none,weka,advisory,mixed,900.0,February to April 2019,True,True,True,False,False,False,ANN; DT; KNN; KStar; LR; REPTree; RF; SVM; SVR,BOD (biological oxygen demand) concentration; BOD concentration; biological oxygen demand (BOD)
10.1007/s40747-021-00395-w,Reinforcement learning-based particle swarm optimization for sewage treatment control,2021,Complex &amp; Intelligent Systems,control,simulated,RLPSO,other,3677.8,none_reported,none,not_specified,advisory,simulation,1344.0,14 days,False,False,False,False,True,False,ANN; APSO; CPSO; DE; HNN; PSO; RL; SLPSO,SO and SNO setpoint optimization for energy consumption minimization; dissolved oxygen (SO) and nitrate nitrogen (SNO) setpoints; energy consumption (aeration energy + pumping energy) while maintaining effluent quality
10.1007/s43615-023-00329-3,Data-Driven Circular Economy of Biowaste to Bioenergy with Conventional Prediction Modelling and Machine Learning,2023,Circular Economy and Sustainability,sludge,experimental,ANN,R2,0.997,random_split,none,sklearn,none,lab,,,False,False,True,False,True,False,ANN; Gompertz; Logistic; Richards,biomethane production; cumulative biomethane production
10.1007/s44163-025-00728-5,Harnessing machine learning to mitigate water pollution in support of climate action,2025,Discover Artificial Intelligence,WWTP,SCADA,GBM,R2,0.81,random_split,none,not_specified,none,full_scale,1075.0,3 years,False,False,True,False,False,False,AdaBoost; DT; GBC; GBM; GBR; KNN; RF; SVM; SVR,effluent COD; effluent COD and BOD concentration
10.1016/j.apenergy.2025.125781,Full-scale dynamic anaerobic digestion process simulation with machine and deep learning algorithms at intra-day resolution,2025,Applied Energy,sludge,SCADA,RF,other,0.68,temporal_split,SHAP,tensorflow,none,full_scale,,189 days,False,False,True,False,False,False,ABR; AdaBoost; BR; Bayesian; CNN; ELM; EN; GBM; GBR; GPR; GRU; KNN; LR; LSTM; PLS; RF; RNN; SARIMAX,12h; and 24h horizons); methane yield; methane yield (intra-day prediction at 1 timestep
10.1016/j.asej.2021.01.007,Investigating the reliability of machine learning algorithms as a sustainable tool for total suspended solid prediction,2021,Ain Shams Engineering Journal,monitoring,experimental,ANN,R2,0.9196,none_reported,none,not_specified,none,full_scale,,13 years,False,False,True,False,False,True,ANN; LR,TSS concentration; total suspended solids (TSS) concentration; total suspended solids (TSS) concentration in reservoir
10.1016/j.biortech.2024.131362,Prediction and optimization of wastewater treatment process effluent chemical oxygen demand and energy consumption based on typical ensemble learning models,2024,Bioresource Technology,WWTP,experimental,XGBoost,R2,0.876,k_fold,SHAP,not_specified,none,full_scale,92.0,4 months,False,False,True,False,False,False,LightGBM; NSGA-II; RF; XGBoost,effluent COD and total energy consumption; effluent COD concentration and total energy consumption (TEC)
10.1016/j.biortech.2025.132210,Bayesian Optimization-Enhanced Reinforcement learning for Self-adaptive and multi-objective control of wastewater treatment,2025,Bioresource Technology,control,mixed,RL + BO,other,46.0,temporal_split,none,not_specified,closed_loop,simulation,3088.0,"1,544 days",False,False,False,False,False,True,Bayesian; DQN; GPR; RL,DO setpoint; DO setpoints; IMLR flow rate; and carbon dosage; and effluent quality index (EQI) for A2O/AO process control; carbon dosage; energy index (PI); internal mixing liquid recycle (IMLR) flow; operational cost index (CI)
10.1016/j.cep.2024.109736,Adaptive model forecasting of the time-variant fouling rate in dynamic ultrafiltration for produced water reclaim,2024,Chemical Engineering and Processing - Process Intensification,membrane,experimental,ARX,R2,0.9943,temporal_split,feature_importance,matlab,advisory,pilot,9400.0,8 hours,False,False,True,False,False,True,ANN; ARX; FFRLS; MLP; PCA; SVM,fouling rate; membrane flux; transmembrane pressure; transmembrane pressure (TMP) and membrane fouling rate (dTMP/dt); transmembrane pressure and membrane flux
10.1016/j.compchemeng.2022.107738,Modeling phosphorous dynamics in a wastewater treatment process using Bayesian optimized LSTM,2022,Computers &amp; Chemical Engineering,WWTP,SCADA,LSTM,R2,0.87,temporal_split,none,matlab,none,full_scale,,1 year,False,False,True,False,False,False,FFNN; LSTM; MLP; RNN,phosphorus concentration; phosphorus concentration in outlet (effluent PO4-P)
10.1016/j.crgsc.2021.100078,Bio-coagulation-flocculation (BCF) of municipal solid waste leachate using Picralima nitida extract: RSM and ANN modelling,2021,Current Research in Green and Sustainable Chemistry,coagulation,experimental,ANN,R2,0.9982,random_split,none,matlab,none,lab,20.0,,False,False,True,False,False,False,ANN; RSM,COD reduction percentage; COD reduction percentage from municipal solid waste leachate; chemical oxygen demand (COD) reduction
10.1016/j.desal.2024.117951,Machine learning models of intermittent operation of RO wellhead water treatment for salinity reduction and nitrate removal,2024,Desalination,membrane,SCADA,LSTM,R2,0.95,temporal_split,attention_weights,pytorch,none,pilot,603000.0,6 months,False,False,True,False,False,False,ANN; CNN; DNN; LSTM; RF; RNN; SOM; SVM,and permeate flux; nitrate passage; permeate flux; salt passage
10.1016/j.dwt.2024.100736,Optimization control of wastewater treatment based on neural network and multi-objective optimization algorithm,2024,Desalination and Water Treatment,control,simulated,MSCNN-BiGRU-SA,R2,0.98,random_split,none,not_specified,closed_loop,simulation,672.0,14 days,False,False,False,False,False,False,1D-CNN; ANN; BPNN; BiGRU; CNN; DBN; GRU; RBFNN,effluent quality and energy consumption; energy consumption (EC) and effluent quality (EQ); energy consumption and effluent quality
10.1016/j.dwt.2024.100895,A study on a hybrid water quality prediction model using sequence to sequence learning based LSTM And machine learning,2024,Desalination and Water Treatment,monitoring,SCADA,LSTM Seq2Seq + XGB/k-NN,RMSE,0.99,temporal_split,none,not_specified,none,full_scale,22608.0,2.5 years,False,False,True,False,True,False,ARIMA; AdaBoost; CNN; GRU; KNN; LSTM; RF; RNN; SVR; XGB; XGBoost,EC and pH; electrical conductivity and pH; electrical conductivity and pH at water treatment plant outlet
10.1016/j.dwt.2025.101238,Harnessing machine learning for transmembrane pressure prediction in MBR systems during textile wastewater treatment,2025,Desalination and Water Treatment,membrane,experimental,RF,R2,0.86,temporal_split,partial_dependence,r,none,lab,60.0,60 days,False,False,False,False,False,True,LR; Lasso; RF; SVR,Transmembrane pressure (TMP); transmembrane pressure; transmembrane pressure (TMP)
10.1016/j.dwt.2025.101386,An insight into real-time monitoring and predictive modelling of ultrafiltration pretreatment for flow rate and fouling mitigation in seawater desalination,2025,Desalination and Water Treatment,membrane,SCADA,RF,R2,0.99,k_fold,feature_importance,matlab,closed_loop,full_scale,3700000.0,426 days,True,True,True,False,False,True,ANN; DT; ENS; GPR; KAR; LR; NN; RF; SVM; SVR; TR,UF flow rate; UF flow rates
10.1016/j.dwt.2025.101451,Safe reinforcement learning for wastewater treatment with an input convex safety critic,2025,Desalination and Water Treatment,control,simulated,Safe SAC,other,14.0,none_reported,none,not_specified,closed_loop,simulation,,14 days,False,False,False,False,False,False,DNN; MPC; RL; RLPSO; SAC,dissolved oxygen setpoints and internal recirculation flow rate; dissolved oxygen setpoints and internal recirculation flow rate for energy minimization and effluent quality constraint satisfaction; effluent TN and SNH violation duration; energy consumption
10.1016/j.energy.2022.126449,"Optimisation and performance evaluation of response surface methodology (RSM), artificial neural network (ANN) and adaptive neuro-fuzzy inference system (ANFIS) in the prediction of biogas production from palm oil mill effluent (POME)",2023,Energy,sludge,SCADA,ANFIS,R2,0.9791,random_split,none,matlab,advisory,full_scale,82.0,2 years,False,False,True,False,False,False,ANFIS; ANN; RSM,biogas production and methane yield; biogas production rate and methane yield from anaerobic digestion
10.1016/j.eng.2020.07.027,Development of a Novel Feedforward Neural Network Model Based on Controllable Parameters for Predicting Effluent Total Nitrogen,2021,Engineering,WWTP,experimental,ANN,other,0.96276,random_split,none,matlab,none,lab,226.0,2 months,False,False,False,False,False,False,ANN; BP; Bayesian; FFNN; LR; Lasso; RF; SVR,effluent TN concentration; effluent Total Nitrogen (TN) concentration; effluent total nitrogen (TN) concentration
10.1016/j.engappai.2020.103822,A data-driven method for detecting and diagnosing causes of water quality contamination in a dataset with a high rate of missing values,2020,Engineering Applications of Artificial Intelligence,monitoring,SCADA,RF,AUC,,none_reported,feature_importance,not_specified,advisory,full_scale,133.0,27 years,False,False,True,False,False,True,ANFIS; FCM; GA; LDA; MICE; RF; SVR,water quality compliance class and contamination source identification; water quality contamination class (compliant vs non-compliant); water quality sub-class membership
10.1016/j.engappai.2024.107992,Deep learning based simulators for the phosphorus removal process control in wastewater treatment via deep reinforcement learning algorithms,2024,Engineering Applications of Artificial Intelligence,control,SCADA,LSTM,MSE,0.0004,random_split,none,pytorch,none,full_scale,410400.0,19 months,False,False,True,False,False,False,Autoformer; DLinear; GBM; Informer; LSTM; LTSF Linear; NLinear; RL; Transformer,phosphate concentration
10.1016/j.envint.2025.109923,Predicting regulated and emerging disinfection byproducts in small drinking water catchments using machine learning,2025,Environment International,DBP,experimental,ANN,R2,0.86,random_split,feature_importance,r,none,lab,198.0,,False,False,True,True,True,False,ANN; BAG; Bagging; ELM; GAM; GBM; GLM; LR; NNET; RF; SVM; XGBoost,BDCM; DBCM; DBP formation potential concentrations (TCM; DCAA; DCAN; HAA5; HAAs; HANs; HKs; TCAA; TCNM; TCNM); TCP); THM4; disinfection byproduct formation potential concentrations; disinfection byproduct formation potential concentrations (THMs
10.1016/j.envres.2024.120108,Application of machine learning in ultrasonic pretreatment of sewage sludge: Prediction and optimization,2024,Environmental Research,sludge,mixed,XGBoost,R2,0.855,random_split,SHAP,sklearn,none,lab,300.0,,False,False,True,False,False,False,ANN; LR; MLPNN; RF; RR; SVR; XG-boost; XGBoost,SCOD; TN; and TP release from sludge; and TP release from ultrasonically pretreated sludge; soluble chemical oxygen demand (SCOD)
10.1016/j.envsoft.2025.106443,Multivariate functional data analysis and machine learning methods for anomaly detection in water quality sensor data,2025,Environmental Modelling &amp; Software,monitoring,SCADA,RF,F1,0.93,random_split,feature_importance,sklearn,none,full_scale,2524608.0,18 years,False,False,True,True,True,False,FDA; KNN; LR; RF; SVM,water quality anomalies; water quality anomaly classification; water quality anomaly detection (binary: normal vs. anomalous)
10.1016/j.eswa.2025.127180,Application of Soft Actor-Critic algorithms in optimizing wastewater treatment with time delays integration,2025,Expert Systems with Applications,control,SCADA,SAC,other,-5.08,temporal_split,none,pytorch,open_loop,simulation,525600.0,2 years,False,False,True,False,False,False,DDPG; DQN; LSTM; PPO; RL; SAC; TD3; TRPO,effluent phosphate concentration; phosphorus concentration; phosphorus concentration in effluent
10.1016/j.heliyon.2023.e21351,Predicting biochemical oxygen demand in wastewater treatment plant using advance extreme learning machine optimized by Bat algorithm,2023,Heliyon,WWTP,SCADA,ELM,NSE,0.781,random_split,none,matlab,none,full_scale,691.0,,False,False,True,False,False,False,ANN; ELM; GPR; LR; MLPNN; MLR; RF; RFR; RVFL,effluent BOD5; effluent BOD5 concentration
10.1016/j.ifacol.2022.11.010,Deep Learning Based Soft Sensor to Predict Total Suspended Solids of Refinery Water Treatment Plant Using Real Process Data,2022,IFAC-PapersOnLine,monitoring,SCADA,GRU,R2,0.899,random_split,none,not_specified,advisory,full_scale,41123.0,6 months,False,False,True,False,False,False,GRU; PCA,Total Suspended Solids (TSS) concentration
10.1016/j.jenvman.2023.117416,Operational parameter prediction of electrocoagulation system in a rural decentralized water treatment plant by interpretable machine learning model,2023,Journal of Environmental Management,coagulation,SCADA,ANN,R2,0.95,random_split,feature_importance,not_specified,advisory,full_scale,367.0,3 months,False,False,True,False,False,False,ANN; GA; GBM; RNN,operational current; operational current of electrocoagulation; operational current of electrocoagulation system
10.1016/j.jenvman.2023.118594,Machine learning methods for anomaly classification in wastewater treatment plants,2023,Journal of Environmental Management,monitoring,SCADA,XGBoost,F1,0.77,k_fold,SHAP,sklearn,advisory,full_scale,35071.0,2 years,False,False,True,False,False,False,ANN; DT; LightGBM; MLP; RF; SVM; XGBoost,ammonia downward drift; ammonia offset; ammonia upward drift; anomaly type (7 classes: no event; anomaly type classification (multiclass); anomaly type classification in intermittent aeration WWTP (7-class: normal; high ammonia drift; high load; low ammonia drift; low load; oxygen fouling); oxygen sensor fouling)
10.1016/j.jenvman.2023.119900,Effluent quality prediction of the sewage treatment based on a hybrid neural network model: Comparison and application,2024,Journal of Environmental Management,WWTP,mixed,Tent_BP_SSA2,R2,0.9847,temporal_split,none,matlab,none,mixed,,1 year,False,False,True,False,False,False,ANN; BPNN; ELMAN; RBFNN; RNN; SSA,NH4-N; TN; TP); and TP concentrations; effluent COD; effluent quality (COD
10.1016/j.jenvman.2024.120510,Genetic programming expressions for effluent quality prediction: Towards AI-driven monitoring and management of wastewater treatment plants,2024,Journal of Environmental Management,WWTP,SCADA,MGGP,other,0.99,random_split,none,not_specified,none,full_scale,263.0,16 months,False,False,True,False,False,False,GP; MGGP,NH4; SS; ammonia; and C/N ratio; and carbon-to-nitrogen ratio; effluent FCOD; effluent filtrated COD; filtrated COD; suspended solids
10.1016/j.jenvman.2024.121907,Learning a neural network-based soft sensor with double-errors parallel optimization towards effluent variable prediction in wastewater treatment plants,2024,Journal of Environmental Management,monitoring,mixed,ANN,R2,0.9993,random_split,none,not_specified,none,mixed,1344.0,30 days,False,False,True,False,False,False,ANN; BPNN; GPR; LR; MLR; PLS; RVM,effluent COD and BOD concentration; effluent COD concentration; effluent COD concentration (BSM1 case); effluent BOD concentration (oxidation ditch case)
10.1016/j.jenvman.2025.124627,Machine learning-based analysis of microplastic-induced changes in anaerobic digestion parameters influencing methane yield,2025,Journal of Environmental Management,sludge,literature_compiled,GBM,R2,0.998,random_split,SHAP,sklearn,none,lab,2878.0,,False,False,True,False,False,False,GBM; RF; SVR; XGBoost,methane yield; methane yield (mL/g VS)
10.1016/j.jenvman.2025.124814,Development of artificial neural network model for anaerobic digestion-elutriated phase treatment,2025,Journal of Environmental Management,sludge,experimental,RNN,MSE,0.02,random_split,none,matlab,advisory,mixed,360.0,360 days,False,False,True,False,False,False,ANN; NARX; RNN,VS removal efficiency; and CH4 content; biogas production; methane content
10.1016/j.jenvman.2025.126144,Performance analysis of machine learning algorithms for the prediction of disinfection byproducts formation during chlorination: Effect of background water characteristics,2025,Journal of Environmental Management,DBP,literature_compiled,LSSVM,R2,0.8,random_split,feature_importance,matlab,none,lab,166.0,,False,False,True,False,False,False,ANN; ELM; KELM; LR; LS-SVM; LSSVM; SVR,HAA5; HAA9; HAN4; HAN6 formation; HAN6); THM4; disinfection byproduct formation (THM4; disinfection byproducts formation (THM4
10.1016/j.jenvman.2025.126648,An artificial intelligence modeling framework based on microbial community structure prediction enhances the pollutant removal efficiency of the algae-bacteria granular sludge system,2025,Journal of Environmental Management,sludge,experimental,GPR,R2,0.983,k_fold,SHAP,matlab,advisory,lab,2160.0,240 days,False,False,False,False,False,False,ANN; DNN; DT; ELR; ET; GPR; LR; MTNN; NN; RF; SVR; TE; TR,TN; TP removal rates); pollutant removal efficiency (COD
10.1016/j.jhydrol.2020.125574,Radial basis function artificial neural network (RBF ANN) as well as the hybrid method of RBF ANN and grey relational analysis able to well predict trihalomethanes levels in tap water,2020,Journal of Hydrology,DBP,experimental,ANN,other,0.946,random_split,none,matlab,none,full_scale,64.0,2015-2016,False,False,True,False,False,False,ANN; LR; RBF,BDCM; T-THMs concentration; T-THMs) concentration in tap water; and T-THMs); trihalomethanes (TCM; trihalomethanes levels (TCM
10.1016/j.jksus.2024.103409,Real-time water quality monitoring using AI-enabled sensors: Detection of contaminants and UV disinfection analysis in smart urban water systems,2024,Journal of King Saud University - Science,monitoring,experimental,RF,accuracy,1.0,random_split,none,not_specified,none,lab,1285.0,,False,False,False,False,False,False,ANN; RF; SVM,UV-disinfected); contaminated; or UV-disinfected); water quality category (clean; water quality class (clean; water quality classification (clean
10.1016/j.jwpe.2023.104048,A data analytics pipeline to optimize polymer dose strategy in a semi-continuous multi-feed dewatering system,2023,Journal of Water Process Engineering,sludge,SCADA,RF,RMSE,14.66,temporal_split,feature_importance,sklearn,advisory,full_scale,869.0,6 months,False,False,True,True,False,False,ANN; PLS; RF,polymer dosage for biosolids dewatering; zero-excluded median polymer dosage
10.1016/j.jwpe.2023.104752,"Optimisation and economic analysis of industrial-scale anaerobic co-digestion (ACoD) of palm oil mill effluent (POME) and decanter cake (DC) using machine learning models: A comparative study of Gradient Boosting Machines (GBM), K-nearest neighbours (KNN), and random forest (RF)",2024,Journal of Water Process Engineering,sludge,SCADA,GBM,R2,0.994,random_split,none,not_specified,advisory,full_scale,,3 months,False,False,True,False,False,False,GBM; KNN; RF,biogas production; biogas production and BOD removal
10.1016/j.jwpe.2024.105695,Least squares support vector regression-based modeling of ammonia oxidation using immobilized nanoFeCu,2024,Journal of Water Process Engineering,WWTP,experimental,LSSVM,R2,0.9215,random_split,none,matlab,none,pilot,94.0,27 weeks,False,False,True,False,False,False,ANN; LR; LSSVM; LSSVR; PCR; PLSR; SVR,NH3 concentration; ammonia concentration; effluent NH3 concentration
10.1016/j.jwpe.2024.106185,Prediction of wastewater quality parameters using adaptive and machine learning models: A South African case study,2024,Journal of Water Process Engineering,WWTP,SCADA,BiLSTM,MAPE,3.12,random_split,none,not_specified,none,full_scale,1365.0,5 years,False,False,True,False,False,False,ANN; BiLSTM; JIT; JITTD; JITTDMW; LSTM; SVR,NH; SRP; TSS; ammonia); conductivity; effluent COD; effluent ammonia (NH); effluent water quality parameters (COD; pH
10.1016/j.jwpe.2025.108108,Machine learning modeling of microplastics removal by coagulation in water and wastewater treatment,2025,Journal of Water Process Engineering,coagulation,literature_compiled,RBF,R2,0.9695,random_split,none,matlab,none,lab,405.0,,False,False,True,False,False,False,ANFIS; ANN; CSA-LSSVM; LSSVM; MLP; PSO-ANFIS; RBF,MP removal efficiency (%); microplastics removal efficiency (%)
10.1016/j.jwpe.2025.108420,Improving aeration efficiency in wastewater treatment systems through collaborative reinforcement learning: A multi-objective approach to overshoot and settling time reduction,2025,Journal of Water Process Engineering,control,simulated,ZN-PPO,other,,none_reported,none,pytorch,closed_loop,simulation,2592000.0,30 days,False,False,True,False,False,False,ANN; PPO; RL; SAC,Kd) for dissolved oxygen control; Ki; PID controller parameters (Kp; dissolved oxygen (DO) concentration; dissolved oxygen concentration overshoot and settling time
10.1016/j.jwpe.2025.108734,Beyond point predictions: Quantifying uncertainty in E. coli ML-based monitoring,2025,Journal of Water Process Engineering,monitoring,SCADA,CatBoost,other,0.877,temporal_split,none,sklearn,none,full_scale,8492.0,23 years,False,False,True,False,False,True,CatBoost; GBM; LightGBM; RF; XGBoost,E. coli concentration; E. coli concentration in drinking water catchment
10.1016/j.marpolbul.2022.114493,Water quality modelling using principal component analysis and artificial neural network,2023,Marine Pollution Bulletin,monitoring,SCADA,ANN,R2,0.9999,random_split,none,not_specified,none,full_scale,271.0,5 years,False,False,True,False,False,False,ANN; PCA,Water Quality Index (WQI); water quality index
10.1016/j.memsci.2025.124133,Development of physics-informed machine-learning models to enhance understanding and prediction of membrane fouling,2025,Journal of Membrane Science,membrane,literature_compiled,PINN,MSE,0.0008,random_split,none,not_specified,none,lab,50.0,,False,False,False,False,False,False,ANN; GBM; LR; PINN; RF; SVR,flux decline; normalized membrane flux decline over time
10.1016/j.memsci.2025.124346,AI-assisted prediction and optimization of micropollutants removal with forward osmosis membranes,2025,Journal of Membrane Science,membrane,literature_compiled,ANN,R2,1.0,k_fold,SHAP,sklearn,none,lab,642.0,,False,False,False,True,True,False,ANN; AdaBoost; CatBoost; DT; GBM; GBR; KNN; LR; LightGBM; MLP; RF; SVM; SVR; XGBoost,water flux (Jw) and micropollutant rejection rate (R%); water flux and micropollutant rejection rate; water flux and rejection rate
10.1016/j.renene.2024.121347,Optimization and prediction of biogas yield from pretreated Ulva Intestinalis Linnaeus applying statistical-based regression approach and machine learning algorithms,2024,Renewable Energy,sludge,experimental,ANFIS,R2,0.9998,random_split,none,matlab,none,lab,16.0,,False,False,False,False,False,False,ANFIS; ANN; RSM,biogas yield; biogas yield from anaerobic digestion of pretreated Ulva Intestinalis Linnaeus
10.1016/j.rineng.2025.104626,Optimizing membrane bioreactor performance in wastewater treatment using machine learning and meta-heuristic techniques,2025,Results in Engineering,WWTP,SCADA,RF,R2,0.8093,random_split,none,matlab,none,full_scale,,,False,False,True,False,False,False,ANFIS; ANN; GPR; LR; LSTM; MLP; RF; RFR; SWLR; XGBoost,COD removal efficiency
10.1016/j.rineng.2025.106253,Quantifying de facto reuse at a drinking water intake with machine learning,2025,Results in Engineering,monitoring,experimental,ppr,R2,0.9926,random_split,feature_importance,r,none,pilot,3637.0,43 days,False,False,True,False,False,False,ANN; BRNN; KNN; LR; RF; XGBoost; bam; gam; ppr,percentage of WWTP effluent (de facto reuse); percentage of WWTP effluent (de facto reuse) at drinking water intake; percentage of de facto reuse (DFR)
10.1016/j.scitotenv.2021.147138,A machine learning framework to improve effluent quality control in wastewater treatment plants,2021,Science of The Total Environment,WWTP,SCADA,RF,R2,0.92,random_split,partial_dependence,not_specified,advisory,full_scale,105763.0,,False,False,True,False,False,False,CART; DNN; RF,effluent TSS and PO4 concentration; effluent TSSe and PO4e; effluent Total Suspended Solids (TSSe) and Phosphate (PO4e)
10.1016/j.scitotenv.2022.155070,Interpretation of ensemble learning to predict water quality using explainable artificial intelligence,2022,Science of The Total Environment,monitoring,SCADA,XGBoost,NSE,0.603,temporal_split,SHAP,sklearn,none,full_scale,,October 2017 to March 2021,False,False,True,False,False,False,ANN; CNN; DNN; GBM; KNN; LR; LSTM; MLP; OLS; RF; RNN; XGBoost,chlorophyll-a concentration; chlorophyll-a concentration (Chl-a) at Hyundo station; chlorophyll-a concentration in stream
